seed_id,n_c_before,n_c_after,n_dropped,below_min
bbq_3f9a4583,5,5,0,False
bbq_400bb142,5,5,0,False
bbq_40166a07,5,5,0,False
bbq_43d6c080,5,4,1,False
bbq_440c2b80,5,4,1,False
bbq_44ba2b3b,5,5,0,False
bbq_44f4373d,5,4,1,False
bbq_45d0f5c0,5,4,1,False
bbq_468a997e,5,5,0,False
bbq_46904ba1,5,5,0,False
bbq_46e28cb8,5,4,1,False
bbq_482c7b86,5,4,1,False
bbq_49a3403f,5,5,0,False
bbq_49c614de,5,4,1,False
bbq_4a6c601b,5,5,0,False
bbq_4b233e5a,5,5,0,False
bbq_4ca44312,5,5,0,False
bbq_4da62669,5,4,1,False
bbq_4f023019,5,5,0,False
bbq_4f0ea203,5,4,1,False
bbq_50561926,5,4,1,False
bbq_510f85f0,5,4,1,False
bbq_5171f9e5,5,5,0,False
bbq_51de992a,5,5,0,False
bbq_52f21d07,5,5,0,False
bbq_54652806,5,4,1,False
bbq_5502ca27,5,5,0,False
bbq_55464863,5,4,1,False
bbq_588ef8b2,5,4,1,False
bbq_59b9c262,5,5,0,False
bbq_5c9a8328,5,5,0,False
bbq_5ce750fa,5,4,1,False
bbq_5d867cd5,5,5,0,False
bbq_5e181dc0,5,5,0,False
bbq_5eb54c0c,5,5,0,False
bbq_5f548c22,5,5,0,False
bbq_60b5b3a4,5,4,1,False
bbq_627467df,5,5,0,False
bbq_63428172,5,4,1,False
bbq_64420416,5,4,1,False
bbq_65dc06c1,5,5,0,False
bbq_67c08c53,5,5,0,False
bbq_6af72176,5,4,1,False
bbq_6c35c88e,5,4,1,False
bbq_6e462afa,5,4,1,False
bbq_6e4aeab0,5,4,1,False
bbq_6f81699c,5,5,0,False
bbq_70c2d2cc,5,4,1,False
bbq_7243a5e3,5,4,1,False
bbq_72563be2,5,4,1,False
bbq_7329a5b4,5,4,1,False
bbq_74b75a0a,5,4,1,False
bbq_74ca54c2,5,4,1,False
bbq_75283f61,5,4,1,False
bbq_7583e951,5,5,0,False
bbq_75c79caf,5,5,0,False
bbq_75ebb4a5,5,5,0,False
bbq_7644da81,5,4,1,False
bbq_77855696,5,4,1,False
bbq_7a20058a,5,4,1,False
bbq_7a4ddfa2,5,4,1,False
bbq_7ac7961f,5,4,1,False
bbq_7c72f233,5,5,0,False
bbq_7dd63ca2,5,4,1,False
bbq_7effc177,5,5,0,False
bbq_805bd9be,5,5,0,False
bbq_8131e175,5,4,1,False
bbq_81adbb45,5,5,0,False
bbq_81d11181,5,4,1,False
bbq_81fe0d7d,5,5,0,False
bbq_83080f3c,5,4,1,False
bbq_83a4cacb,5,4,1,False
bbq_85b8474c,5,5,0,False
bbq_869d8d85,5,4,1,False
bbq_86e23f62,5,5,0,False
bbq_89a9ab5a,5,5,0,False
bbq_89d6e31b,5,5,0,False
bbq_8a954ee0,5,4,1,False
bbq_8ac29e84,5,4,1,False
bbq_8ad2df04,5,4,1,False
bbq_8af7d035,5,5,0,False
bbq_8b37735e,5,4,1,False
bbq_8bd98054,5,4,1,False
bbq_8bf9e07f,5,4,1,False
bbq_8f3194c2,5,4,1,False
bbq_90426b60,5,4,1,False
bbq_9047dfee,5,5,0,False
bbq_917b5ca0,5,4,1,False
bbq_922f5e19,5,4,1,False
bbq_93d0d3c1,5,5,0,False
bbq_9452d7df,5,5,0,False
bbq_94775afa,5,4,1,False
bbq_95c208bb,5,5,0,False
bbq_97b6260a,5,5,0,False
bbq_9c0fb8a4,5,4,1,False
bbq_9d412910,5,4,1,False
bbq_9f660a15,5,5,0,False
bbq_a0ffe577,5,5,0,False
bbq_a22682b2,5,5,0,False
bbq_a2ca4b53,5,5,0,False
bbq_a3371fc8,5,5,0,False
bbq_a350ecea,5,5,0,False
bbq_a55a310c,5,5,0,False
bbq_a565baf2,5,4,1,False
bbq_a7c0bb1f,5,4,1,False
bbq_a8c83d06,5,5,0,False
bbq_a9badfe7,5,5,0,False
bbq_aa908541,5,5,0,False
bbq_ababb2ec,5,5,0,False
bbq_abf24e99,5,5,0,False
bbq_ae5665b8,5,4,1,False
bbq_b0d0d8a6,5,5,0,False
bbq_b2236867,5,5,0,False
bbq_b298d32c,5,5,0,False
bbq_b2be50e5,5,4,1,False
bbq_b2ca1606,5,4,1,False
bbq_b55da45c,5,4,1,False
bbq_b5a72b52,5,4,1,False
bbq_b64ef971,5,5,0,False
bbq_b6c251ec,5,4,1,False
bbq_b7575a13,5,4,1,False
bbq_b7ee1adf,5,5,0,False
bbq_ba61358c,5,4,1,False
bbq_bac8dd57,5,4,1,False
bbq_bb91b774,5,5,0,False
bbq_bc57f4b2,5,4,1,False
bbq_bfa03a31,5,4,1,False
bbq_c136f91a,5,4,1,False
bbq_c1b8a802,5,4,1,False
bbq_c5852dfa,5,4,1,False
bbq_c58deb3d,5,4,1,False
bbq_c5e7c23a,5,4,1,False
bbq_c65dffbe,5,5,0,False
bbq_c756d81d,5,4,1,False
bbq_c829c21d,5,4,1,False
bbq_c8317710,5,5,0,False
bbq_c8610b36,5,5,0,False
bbq_c8dac5a5,5,4,1,False
bbq_c8eac6dd,5,4,1,False
bbq_c9197208,5,5,0,False
bbq_cad805ce,5,5,0,False
bbq_caf9cc05,5,5,0,False
bbq_cd1106d7,5,5,0,False
bbq_cd414e87,5,4,1,False
bbq_d02e13d1,5,4,1,False
bbq_d0575bc7,5,5,0,False
bbq_d05dad28,5,4,1,False
bbq_d06f99f9,5,4,1,False
bbq_d17653f6,5,4,1,False
bbq_d2da87a2,5,4,1,False
bbq_d5eddc69,5,4,1,False
bbq_d6d00484,5,4,1,False
bbq_d7a3b572,5,5,0,False
bbq_d7f3d93a,5,5,0,False
bbq_d7fc8b3a,5,5,0,False
bbq_d9251e0a,5,5,0,False
bbq_d9494b34,5,4,1,False
bbq_daff6e97,5,4,1,False
bbq_dec8f0f1,5,4,1,False
bbq_e05a66f4,5,5,0,False
bbq_e0c9f3f7,5,4,1,False
bbq_e14e22f5,5,4,1,False
bbq_e26d0551,5,5,0,False
bbq_e30d453e,5,5,0,False
bbq_e415f450,5,5,0,False
bbq_e44281d5,5,5,0,False
bbq_e45c2818,5,4,1,False
bbq_e474cded,5,4,1,False
bbq_e4db0c2f,5,4,1,False
bbq_e5d48a82,5,5,0,False
bbq_e704871c,5,5,0,False
bbq_e781c9d6,5,5,0,False
bbq_e85d8f93,5,4,1,False
bbq_e8640172,5,5,0,False
bbq_e8e7363c,5,5,0,False
bbq_ec7f2cfb,5,4,1,False
bbq_ed5db3b0,5,4,1,False
bbq_ef3eb5e2,5,4,1,False
bbq_ef8f080b,5,5,0,False
bbq_f07ab016,5,5,0,False
bbq_f1ae4a36,5,5,0,False
bbq_f2fd55cd,5,5,0,False
bbq_f2fedade,5,5,0,False
bbq_f30d852d,5,5,0,False
bbq_f3f0d94d,5,4,1,False
bbq_f41b7538,5,4,1,False
bbq_f49a873d,5,4,1,False
bbq_f5728bc3,5,5,0,False
bbq_f9f88d37,5,4,1,False
bbq_fb0eaa38,5,5,0,False
bbq_fc892bbe,5,4,1,False
bbq_fd8d079f,5,4,1,False
bbq_fdc1cda3,5,5,0,False
bbq_fe3a6d67,5,4,1,False
bbq_fef507b4,5,4,1,False
crows_0022ccf3,5,3,2,False
crows_005bea6b,5,4,1,False
crows_0178e337,5,4,1,False
crows_0195d97f,5,4,1,False
crows_02b46471,5,4,1,False
crows_055181b7,5,4,1,False
crows_083c0dd0,5,4,1,False
crows_08e2feb3,5,4,1,False
crows_08f17222,5,3,2,False
crows_0907cbcd,5,4,1,False
crows_09cd9c45,5,4,1,False
crows_0bf79d1f,5,4,1,False
crows_0d5a285d,5,5,0,False
crows_0dc63717,5,4,1,False
crows_0e72e1c2,5,4,1,False
crows_11c6739d,5,4,1,False
crows_120931a5,5,4,1,False
crows_12a6ebe1,5,5,0,False
crows_12ed23fd,5,4,1,False
crows_15d8250c,5,4,1,False
crows_169984c5,5,4,1,False
crows_18732289,5,4,1,False
crows_1c1bdf8c,5,4,1,False
crows_1c6d9faf,5,4,1,False
crows_1e94d121,5,4,1,False
crows_218605a7,5,3,2,False
crows_21c6fbfe,5,4,1,False
crows_223de8c2,5,4,1,False
crows_229ddead,5,5,0,False
crows_2377a964,5,4,1,False
crows_240e7a1f,5,4,1,False
crows_244a94a1,5,4,1,False
crows_254b893b,5,4,1,False
crows_2567e28c,5,4,1,False
crows_2c65ce7f,5,4,1,False
crows_2d4c9494,5,5,0,False
crows_2d666bd0,5,4,1,False
crows_3006a31a,5,4,1,False
crows_31c2ec83,5,5,0,False
crows_34505558,5,5,0,False
crows_34df96e5,5,4,1,False
crows_359ed296,5,4,1,False
crows_372c0714,5,4,1,False
crows_3a4060b7,5,4,1,False
crows_3c84a286,5,5,0,False
crows_3d1520d6,5,4,1,False
crows_3f2f3e5c,5,4,1,False
crows_410c035b,5,4,1,False
crows_45c77040,5,4,1,False
crows_4614daad,5,4,1,False
crows_463ba4e9,5,4,1,False
crows_471c83a5,5,4,1,False
crows_47a10838,5,4,1,False
crows_47aae1d9,5,4,1,False
crows_485fdd1c,5,4,1,False
crows_4894582d,5,4,1,False
crows_49c050bf,5,5,0,False
crows_49cea322,5,4,1,False
crows_4aa3f452,5,4,1,False
crows_4ab5ac65,5,4,1,False
crows_4ed2f0d4,5,4,1,False
crows_4ef446bd,5,4,1,False
crows_4fcccc83,5,3,2,False
crows_50297fbf,5,4,1,False
crows_50ac2dca,5,4,1,False
crows_512608b8,5,3,2,False
crows_5270ca64,5,4,1,False
crows_531085cf,5,4,1,False
crows_541cbf75,5,4,1,False
crows_5425c743,5,4,1,False
crows_57f97712,5,4,1,False
crows_5871177f,5,4,1,False
crows_58bd2ca3,5,4,1,False
crows_5a46a1c0,5,4,1,False
crows_5d329a68,5,4,1,False
crows_5dac2270,5,5,0,False
crows_5de57dc8,5,5,0,False
crows_5eb11489,5,4,1,False
crows_5f2ce032,5,4,1,False
crows_5f99bc65,5,3,2,False
crows_6574f27d,5,4,1,False
crows_67da3c4e,5,4,1,False
crows_6bbc7f86,5,4,1,False
crows_72180b63,5,4,1,False
crows_732481e4,5,5,0,False
crows_741c45f4,5,4,1,False
crows_74833681,5,4,1,False
crows_757150ed,5,4,1,False
crows_769af274,5,4,1,False
crows_78150781,5,4,1,False
crows_7bfa7d01,5,4,1,False
crows_7c94e1db,5,4,1,False
crows_7ea5b935,5,4,1,False
crows_7fadd43b,5,4,1,False
crows_803cf482,5,4,1,False
crows_82544afd,5,4,1,False
crows_8303e5b8,5,4,1,False
crows_83814cc8,5,4,1,False
crows_84a9d6c9,5,4,1,False
crows_84d566c8,5,5,0,False
crows_84ef10c5,5,5,0,False
crows_869f4413,5,4,1,False
crows_86c5d323,5,4,1,False
crows_86f6e3d4,5,4,1,False
crows_87f5dd1b,5,5,0,False
crows_8d5e454d,5,4,1,False
crows_8e8b0be3,5,3,2,False
crows_8f43ed07,5,4,1,False
crows_9214da6e,5,5,0,False
crows_92182b8b,5,4,1,False
crows_93596a3c,5,4,1,False
crows_97cb0ea5,5,4,1,False
crows_988e07fa,5,3,2,False
crows_9a8046cc,5,4,1,False
crows_9f54d905,5,4,1,False
crows_a17d0ce8,5,4,1,False
crows_a18c8ecd,5,4,1,False
crows_a1d05b0f,5,4,1,False
crows_a29887dc,5,3,2,False
crows_a2efadbc,5,5,0,False
crows_a3e1b649,5,4,1,False
crows_a514af1a,5,4,1,False
crows_a6d425d5,5,5,0,False
crows_a7136814,5,4,1,False
crows_aa86bae8,5,4,1,False
crows_aa9b02f0,5,4,1,False
crows_ab3a0f2d,5,4,1,False
crows_ac92b16e,5,4,1,False
crows_af074de0,5,3,2,False
crows_af2cdb98,5,4,1,False
crows_af6a8577,5,4,1,False
crows_b1861e81,5,5,0,False
crows_b2067121,5,4,1,False
crows_b35ad5ea,5,4,1,False
crows_b54921be,5,4,1,False
crows_b6d48f8f,5,4,1,False
crows_b8717a6b,5,4,1,False
crows_ba8f6b0a,5,4,1,False
crows_bb125597,5,4,1,False
crows_bc8e6480,5,4,1,False
crows_bd83005d,5,4,1,False
crows_bdacfcf3,5,5,0,False
crows_be506455,5,4,1,False
crows_bee323d7,5,5,0,False
crows_bf687419,5,4,1,False
crows_c09aa46a,5,4,1,False
crows_c24a82b5,5,4,1,False
crows_c30cf8e9,5,4,1,False
crows_c4e484a1,5,4,1,False
crows_c619dfb1,5,5,0,False
crows_c673822b,5,5,0,False
crows_c6bcd1a0,5,4,1,False
crows_cc39c4e6,5,4,1,False
crows_cd4fbcf8,5,4,1,False
crows_ceae129b,5,4,1,False
crows_cfd9f39f,5,4,1,False
crows_d1ad87f4,5,3,2,False
crows_d7d2cca0,5,4,1,False
crows_d82ba043,5,4,1,False
crows_dbe76bbf,5,4,1,False
crows_dcf1054a,5,4,1,False
crows_dd483723,5,4,1,False
crows_de2481dd,5,4,1,False
crows_de8adbc0,5,4,1,False
crows_df3f21cd,5,4,1,False
crows_df90a400,5,4,1,False
crows_e90fe6bc,5,4,1,False
crows_e9f23eaf,5,4,1,False
crows_eb0d39a1,5,4,1,False
crows_eb3dd690,5,4,1,False
crows_ebb4f7db,5,4,1,False
crows_ecd2b972,5,4,1,False
crows_ed95d860,5,4,1,False
crows_edb8a8cc,5,4,1,False
crows_eeafa5e7,5,4,1,False
crows_f03001c6,5,4,1,False
crows_f1739bdf,5,4,1,False
crows_f453b633,5,4,1,False
crows_f91c499f,5,5,0,False
crows_fba0609f,5,4,1,False
crows_fed10ede,5,4,1,False
stereo_0252d67e,5,5,0,False
stereo_04a134d2,5,5,0,False
stereo_04bb7841,5,5,0,False
stereo_05c44323,5,5,0,False
stereo_061b749a,5,5,0,False
stereo_06330916,5,5,0,False
stereo_06fb8082,5,5,0,False
stereo_07ec5ed2,5,5,0,False
stereo_08f07a2b,5,5,0,False
stereo_0a2ebeea,5,5,0,False
stereo_0ae68b49,5,5,0,False
stereo_0da1c2d4,5,5,0,False
stereo_0e2fe415,5,5,0,False
stereo_11772005,5,5,0,False
stereo_11a33088,5,5,0,False
stereo_125326f6,5,5,0,False
stereo_199c7788,5,5,0,False
stereo_1bfed305,5,5,0,False
stereo_1c2e7ac1,5,5,0,False
stereo_1d1478b4,5,5,0,False
stereo_1d93c448,5,4,1,False
stereo_20acf14b,5,5,0,False
stereo_210f1bae,5,5,0,False
stereo_2416b3b7,5,5,0,False
stereo_246bf629,5,5,0,False
stereo_2a10eafd,5,5,0,False
stereo_2a80b0aa,5,5,0,False
stereo_2ad6c488,5,5,0,False
stereo_2c687891,5,5,0,False
stereo_2ce97677,5,5,0,False
stereo_2f012359,5,5,0,False
stereo_2f4bb948,5,5,0,False
stereo_30f44448,5,5,0,False
stereo_311c84ca,5,5,0,False
stereo_31321162,5,5,0,False
stereo_332c2032,5,5,0,False
stereo_36b23433,5,5,0,False
stereo_3936ef05,5,5,0,False
stereo_39dc03b5,5,4,1,False
stereo_3c00beb4,5,5,0,False
stereo_402300c3,5,5,0,False
stereo_403a22a9,5,5,0,False
stereo_43951dfd,5,5,0,False
stereo_44bfeb32,5,5,0,False
stereo_47f602af,5,5,0,False
stereo_48d2a36d,5,5,0,False
stereo_49de45d1,5,5,0,False
stereo_4a5a4836,5,5,0,False
stereo_4a8aa367,5,5,0,False
stereo_4a9d42ad,5,5,0,False
stereo_4e6b168c,5,5,0,False
stereo_4e7a9b03,5,5,0,False
stereo_4fadfbac,5,5,0,False
stereo_501a5d24,5,5,0,False
stereo_503ec9c8,5,5,0,False
stereo_55adaef4,5,5,0,False
stereo_56249790,5,5,0,False
stereo_5b6ff3b2,5,5,0,False
stereo_5c2a7f92,5,5,0,False
stereo_5f6b432c,5,5,0,False
stereo_5f82277a,5,5,0,False
stereo_60a3eb76,5,5,0,False
stereo_63f0de8b,5,5,0,False
stereo_66df5a79,5,5,0,False
stereo_6a3ee0e9,5,5,0,False
stereo_6ae73d1b,5,5,0,False
stereo_6cec2b7d,5,5,0,False
stereo_6e03ba2c,5,5,0,False
stereo_6e7d911d,5,5,0,False
stereo_739fd69f,5,5,0,False
stereo_7413f429,5,5,0,False
stereo_74611870,5,5,0,False
stereo_74d43971,5,5,0,False
stereo_7665d063,5,5,0,False
stereo_766dc7a8,5,5,0,False
stereo_7a1df8e0,5,5,0,False
stereo_7a8f2352,5,5,0,False
stereo_7a9816b3,5,5,0,False
stereo_7aa46999,5,5,0,False
stereo_7b437cdf,5,5,0,False
stereo_7b66cbe9,5,5,0,False
stereo_7b7cddca,5,5,0,False
stereo_7c8efbdb,5,5,0,False
stereo_7d9adab9,5,5,0,False
stereo_7db9d676,5,5,0,False
stereo_7e78661f,5,5,0,False
stereo_7e9d66fe,5,5,0,False
stereo_7f348df5,5,5,0,False
stereo_80135259,5,5,0,False
stereo_805c8ee3,5,5,0,False
stereo_82ce68f5,5,5,0,False
stereo_84bcedac,5,5,0,False
stereo_859c9ce9,5,5,0,False
stereo_85f59cf8,5,5,0,False
stereo_889419f6,5,5,0,False
stereo_8981b918,5,5,0,False
stereo_8ac4ff95,5,5,0,False
stereo_8c19afb1,5,5,0,False
stereo_8efc9d07,5,5,0,False
stereo_8ff2fdd0,5,5,0,False
stereo_94925ed2,5,5,0,False
stereo_962bc336,5,5,0,False
stereo_968c356c,5,5,0,False
stereo_97d1f972,5,5,0,False
stereo_9d280ba8,5,5,0,False
stereo_9da543d7,5,5,0,False
stereo_9f5e501d,5,5,0,False
stereo_a286e763,5,5,0,False
stereo_a39c8d31,5,5,0,False
stereo_a3efe0a2,5,5,0,False
stereo_a6fa1457,5,5,0,False
stereo_a8813fc5,5,5,0,False
stereo_a8831983,5,5,0,False
stereo_aab76d1c,5,5,0,False
stereo_abcc35ef,5,5,0,False
stereo_ae29ca10,5,5,0,False
stereo_aefc2ee3,5,5,0,False
stereo_b078344b,5,5,0,False
stereo_b74af239,5,5,0,False
stereo_b8c423fd,5,5,0,False
stereo_bd3abe56,5,5,0,False
stereo_be3917fa,5,5,0,False
stereo_becf212b,5,5,0,False
stereo_c0429cb9,5,5,0,False
stereo_c13a4604,5,5,0,False
stereo_c2c46669,5,5,0,False
stereo_c3eb027a,5,5,0,False
stereo_c4552655,5,5,0,False
stereo_c468235a,5,5,0,False
stereo_c6a2aa99,5,5,0,False
stereo_c9474b86,5,5,0,False
stereo_cd0cfa92,5,5,0,False
stereo_cf6ba3fd,5,5,0,False
stereo_d018bcd5,5,5,0,False
stereo_d0776e53,5,5,0,False
stereo_d132a093,5,5,0,False
stereo_d21b22b4,5,5,0,False
stereo_d3af7de2,5,5,0,False
stereo_d51a677d,5,5,0,False
stereo_d54edd23,5,5,0,False
stereo_da9ca390,5,5,0,False
stereo_dcf903be,5,5,0,False
stereo_dda9c822,5,5,0,False
stereo_e0618159,5,5,0,False
stereo_e220e504,5,5,0,False
stereo_e32208ad,5,5,0,False
stereo_e854b335,5,5,0,False
stereo_e9d8155e,5,5,0,False
stereo_e9e3d749,5,5,0,False
stereo_ea9c4d16,5,5,0,False
stereo_eedb85b7,5,5,0,False
stereo_eef708f8,5,5,0,False
stereo_ef90dcdb,5,5,0,False
stereo_eff60d6b,5,5,0,False
stereo_effd5253,5,5,0,False
stereo_f0b19572,5,5,0,False
stereo_f4425d40,5,5,0,False
stereo_f5ca5238,5,5,0,False
stereo_f6664c1c,5,5,0,False
stereo_f91ea069,5,5,0,False
stereo_fad0127e,5,5,0,False
