2026-06-15 14:58:41,334 | INFO | run_gpu_remaining | patching libs OK: transformer_lens=2.18.0 nnsight=0.3.7
2026-06-15 14:59:34,707 | INFO | GPU_CPU.utils_attention | Converting HF model 'google/gemma-2-2b-it' to HookedTransformer for CDVA patching ...
2026-06-15 15:00:21,641 | INFO | GPU_CPU.utils_attention | HookedTransformer for 'google/gemma-2-2b-it' cached (device=cuda:0).
2026-06-15 15:00:28,611 | INFO | run_gpu_remaining |   T0.2 rows=8
2026-06-15 15:00:28,859 | INFO | GPU_CPU.load_osm | Model 'gemma-2-2b-it' unloaded and VRAM freed.
2026-06-15 15:00:29,034 | INFO | run_gpu_remaining |   T0.2 recovery sample: [nan, -0.6764705882352942, nan, nan] (finite=1/8)
2026-06-15 15:00:29,037 | INFO | run_gpu_remaining | === model phi-4-mini-instruct (limit=2) ===
2026-06-15 15:00:29,040 | INFO | GPU_CPU.load_osm | Loading model: phi-4-mini-instruct (microsoft/Phi-4-mini-instruct) ...
2026-06-15 15:01:09,781 | WARNING | run_gpu_remaining | flash_attention_2 failed (FlashAttention2 has been toggled on, but it cannot be used due to the following error: the package flash_attn seems to b); retrying with sdpa
2026-06-15 15:01:13,233 | INFO | GPU_CPU.load_osm |   Model phi-4-mini-instruct                 | attention impl: sdpa
2026-06-15 15:01:13,233 | WARNING | GPU_CPU.load_osm |   WARNING: phi-4-mini-instruct did not load with flash_attention_2 (got 'sdpa').
2026-06-15 15:01:13,234 | INFO | GPU_CPU.load_osm | Model 'phi-4-mini-instruct' loaded successfully.
2026-06-15 15:01:38,731 | INFO | GPU_CPU.osm_behavioral | OSM phi-4-mini-instruct: 2/2 prompts done (sample_index=0, batch_size=8).
2026-06-15 15:01:44,956 | INFO | GPU_CPU.osm_behavioral | OSM phi-4-mini-instruct: 2/2 prompts done (sample_index=1, batch_size=8).
2026-06-15 15:02:10,583 | INFO | GPU_CPU.osm_behavioral | OSM phi-4-mini-instruct: 2/2 prompts done (sample_index=2, batch_size=8).
2026-06-15 15:02:16,941 | INFO | GPU_CPU.osm_behavioral | OSM phi-4-mini-instruct: 2/2 prompts done (sample_index=3, batch_size=8).
2026-06-15 15:02:23,213 | INFO | GPU_CPU.osm_behavioral | OSM phi-4-mini-instruct: 2/2 prompts done (sample_index=4, batch_size=8).
2026-06-15 15:02:29,603 | INFO | GPU_CPU.osm_behavioral | OSM phi-4-mini-instruct: 2/2 prompts done (sample_index=5, batch_size=8).
2026-06-15 15:02:29,605 | INFO | run_gpu_remaining |   T0.1 rows=12
2026-06-15 15:02:35,479 | INFO | GPU_CPU.osm_behavioral | OSM phi-4-mini-instruct: 2/2 prompts done (sample_index=1, batch_size=8).
2026-06-15 15:02:41,531 | INFO | GPU_CPU.osm_behavioral | OSM phi-4-mini-instruct: 2/2 prompts done (sample_index=2, batch_size=8).
2026-06-15 15:02:47,994 | INFO | GPU_CPU.osm_behavioral | OSM phi-4-mini-instruct: 2/2 prompts done (sample_index=3, batch_size=8).
2026-06-15 15:02:54,288 | INFO | GPU_CPU.osm_behavioral | OSM phi-4-mini-instruct: 2/2 prompts done (sample_index=4, batch_size=8).
2026-06-15 15:03:00,757 | INFO | GPU_CPU.osm_behavioral | OSM phi-4-mini-instruct: 2/2 prompts done (sample_index=5, batch_size=8).
2026-06-15 15:03:00,760 | INFO | run_gpu_remaining |   T1.2 rows=10
2026-06-15 15:03:00,891 | INFO | GPU_CPU.utils_attention | Creating nnsight LanguageModel wrapper for 'microsoft/Phi-4-mini-instruct' (cached).
2026-06-15 15:03:03,168 | INFO | run_gpu_remaining |   T0.2 rows=8
2026-06-15 15:03:03,478 | INFO | GPU_CPU.load_osm | Model 'phi-4-mini-instruct' unloaded and VRAM freed.
2026-06-15 15:03:03,591 | INFO | run_gpu_remaining |   T0.2 recovery sample: [nan, nan, nan, nan] (finite=0/8)
2026-06-15 15:03:03,591 | INFO | run_gpu_remaining | DRY RESULT: PASS
